NAME,ID,DEPRECATED,TEST_DATA
Чеченская Республика,11,NA,35
Республика Ингушетия,20,NA,26
Республика Дагестан,17,NA,30
Республика Тыва,77,NA,166
Республика Карачаево-Черкессия,28,NA,90
Кабардино-Балкарская Республика,23,NA,104
Республика Мордовия,47,NA,278
Тамбовская область,72,NA,236
Республика Адыгея,1,NA,189
Республика Алтай,19,NA,192
Липецкая область,44,NA,234
Пензенская область,59,NA,236
Воронежская область,86,NA,255
Тульская область,76,NA,173
Ставропольский край,70,NA,171
Республика Бурятия,10,NA,166
Ивановская область,22,NA,172
Курская область,42,NA,205
Орловская область,57,NA,218
Республика Саха,65,NA,293
Владимирская область,83,NA,205
Забайкальский край,91,NA,195
Брянская область,9,NA,132
Республика Марий Эл,46,NA,191
Республика Калмыкия,25,NA,121
Волгоградская область,84,NA,197
Рязанская область,64,NA,195
Ярославская область,88,NA,192
Иркусткая область,95,NA,182
Алтайский край,3,NA,275
Калужская область,26,NA,203
Краснодарский край,39,NA,227
Ростовская область,63,NA,210
Тверская область,78,NA,137
Республика Северная Осетия-Алания,53,NA,89
Новосибирская область,55,NA,218
Московская область,49,NA,203
Вологодская область,85,NA,218
Кировская область,34,NA,252
Оренбургская область,58,NA,269
Смоленская область,69,NA,142
Республика Хакасия,32,NA,207
Еврейская АОб,89,NA,256
Пермский край,93,NA,254
Чувашская Республика,15,NA,226
Костромская область,38,NA,174
Саратовская область,68,NA,199
Нижегородская область,52,NA,221
Кемеровская область,30,NA,171
Курганская область,41,NA,323
Псковская область,62,NA,222
Белгородская область,8,NA,226
Свердловская область,71,NA,226
Омская область,56,NA,220
Астраханская область,6,NA,194
Республика Татарстан,73,NA,271
Республика Башкортостан,7,NA,205
Томская область,75,NA,191
Удмуртская Республика,80,NA,208
Амурская область,4,NA,245
Сахалинская область,66,NA,247
Хабаровский край,31,NA,218
Самарская область,67,NA,191
Ульяновская область,81,NA,199
Новгородская область,54,NA,250
Магаданская область,45,NA,404
Ненецкий АОк,51,NA,193
Приморский край,61,NA,227
Республика Коми,36,NA,265
Калининградская область,24,NA,204
Красноярский край,94,NA,207
Чукотский АОк,14,NA,483
Ленинградская область,43,NA,170
Челябинская область,12,NA,213
Тюменская область,79,NA,239
Архангельская область,5,NA,193
Ханты-Мансийский АОк,33,NA,NA
Ямало-Ненецкий АОк,87,NA,NA
Республика Карелия,29,NA,215
Мурманская область,50,NA,226
Камчатский край,92,NA,311
Санкт-Петербург,16,NA,211
Москва,48,NA,203
Агинский Бурятский АОк,2,2008,NA
Читинская область,13,2008,NA
Эвенкиский АОк,18,2007,NA
Иркутская область (без Усть-Ордынского Бурятского АО),21,2008,NA
Камчатская область,27,2007,NA
Красноярский край (без Таймырского и Эвенкийского АО),40,2007,NA
Пермская область,60,2005,NA
Таймырский АОк,74,2007,NA
Усть-Ордынский Бурятский АОк,82,2008,NA
Коми-Пермятский АОк,35,2005,NA
Корякский АОк,37,2007,NA
